Temperature,Year,Month,Country,ISO3
23.63,1961,Sep,Kenya,KEN
23.74,1961,Oct,Kenya,KEN
22.45,1961,Nov,Kenya,KEN
23.41,1961,Dec,Kenya,KEN
23.81,1962,Jan,Kenya,KEN
25.52,1962,Feb,Kenya,KEN
25.23,1962,Mar,Kenya,KEN
24.54,1962,Apr,Kenya,KEN
23.35,1962,May,Kenya,KEN
23.39,1962,Jun,Kenya,KEN
23.13,1962,Jul,Kenya,KEN
23.53,1962,Aug,Kenya,KEN
24.09,1962,Sep,Kenya,KEN
24.27,1962,Oct,Kenya,KEN
23.6,1962,Nov,Kenya,KEN
23.71,1962,Dec,Kenya,KEN
24.73,1963,Jan,Kenya,KEN
25.4,1963,Feb,Kenya,KEN
25.33,1963,Mar,Kenya,KEN
24.02,1963,Apr,Kenya,KEN
23.67,1963,May,Kenya,KEN
23.65,1963,Jun,Kenya,KEN
23.09,1963,Jul,Kenya,KEN
23.03,1963,Aug,Kenya,KEN
23.66,1963,Sep,Kenya,KEN
24.63,1963,Oct,Kenya,KEN
23.19,1963,Nov,Kenya,KEN
22.87,1963,Dec,Kenya,KEN
24.3,1964,Jan,Kenya,KEN
25.86,1964,Feb,Kenya,KEN
26.44,1964,Mar,Kenya,KEN
24.49,1964,Apr,Kenya,KEN
24.4,1964,May,Kenya,KEN
23.75,1964,Jun,Kenya,KEN
22.76,1964,Jul,Kenya,KEN
22.44,1964,Aug,Kenya,KEN
23.4,1964,Sep,Kenya,KEN
23.36,1964,Oct,Kenya,KEN
24.19,1964,Nov,Kenya,KEN
23.22,1964,Dec,Kenya,KEN
24.42,1965,Jan,Kenya,KEN
25.79,1965,Feb,Kenya,KEN
26.11,1965,Mar,Kenya,KEN
24.8,1965,Apr,Kenya,KEN
24.58,1965,May,Kenya,KEN
23.42,1965,Jun,Kenya,KEN
23.18,1965,Jul,Kenya,KEN
23.39,1965,Aug,Kenya,KEN
24.1,1965,Sep,Kenya,KEN
24.23,1965,Oct,Kenya,KEN
23.47,1965,Nov,Kenya,KEN
24.25,1965,Dec,Kenya,KEN
25.89,1966,Jan,Kenya,KEN
26.49,1966,Feb,Kenya,KEN
25.26,1966,Mar,Kenya,KEN
24.53,1966,Apr,Kenya,KEN
24.86,1966,May,Kenya,KEN
24.08,1966,Jun,Kenya,KEN
23.67,1966,Jul,Kenya,KEN
23.56,1966,Aug,Kenya,KEN
24.19,1966,Sep,Kenya,KEN
24.6,1966,Oct,Kenya,KEN
24.02,1966,Nov,Kenya,KEN
25.37,1966,Dec,Kenya,KEN
25.42,1967,Jan,Kenya,KEN
26.35,1967,Feb,Kenya,KEN
26.61,1967,Mar,Kenya,KEN
24.0,1967,Apr,Kenya,KEN
23.73,1967,May,Kenya,KEN
23.46,1967,Jun,Kenya,KEN
23.04,1967,Jul,Kenya,KEN
23.2,1967,Aug,Kenya,KEN
23.79,1967,Sep,Kenya,KEN
23.74,1967,Oct,Kenya,KEN
22.89,1967,Nov,Kenya,KEN
23.8,1967,Dec,Kenya,KEN
24.98,1968,Jan,Kenya,KEN
25.05,1968,Feb,Kenya,KEN
23.72,1968,Mar,Kenya,KEN
23.51,1968,Apr,Kenya,KEN
23.26,1968,May,Kenya,KEN
23.0,1968,Jun,Kenya,KEN
22.57,1968,Jul,Kenya,KEN
22.95,1968,Aug,Kenya,KEN
24.14,1968,Sep,Kenya,KEN
24.54,1968,Oct,Kenya,KEN
23.64,1968,Nov,Kenya,KEN
23.36,1968,Dec,Kenya,KEN
25.02,1969,Jan,Kenya,KEN
24.96,1969,Feb,Kenya,KEN
25.38,1969,Mar,Kenya,KEN
26.4,1969,Apr,Kenya,KEN
24.66,1969,May,Kenya,KEN
23.93,1969,Jun,Kenya,KEN
23.42,1969,Jul,Kenya,KEN
23.22,1969,Aug,Kenya,KEN
24.17,1969,Sep,Kenya,KEN
24.66,1969,Oct,Kenya,KEN
24.36,1969,Nov,Kenya,KEN
24.98,1969,Dec,Kenya,KEN
25.31,1970,Jan,Kenya,KEN
26.37,1970,Feb,Kenya,KEN
25.81,1970,Mar,Kenya,KEN
24.4,1970,Apr,Kenya,KEN
24.45,1970,May,Kenya,KEN
23.67,1970,Jun,Kenya,KEN
23.06,1970,Jul,Kenya,KEN
23.34,1970,Aug,Kenya,KEN
23.72,1970,Sep,Kenya,KEN
24.63,1970,Oct,Kenya,KEN
24.59,1970,Nov,Kenya,KEN
25.23,1970,Dec,Kenya,KEN
25.77,1971,Jan,Kenya,KEN
26.19,1971,Feb,Kenya,KEN
26.28,1971,Mar,Kenya,KEN
24.7,1971,Apr,Kenya,KEN
23.78,1971,May,Kenya,KEN
23.27,1971,Jun,Kenya,KEN
22.68,1971,Jul,Kenya,KEN
22.78,1971,Aug,Kenya,KEN
23.64,1971,Sep,Kenya,KEN
24.04,1971,Oct,Kenya,KEN
23.96,1971,Nov,Kenya,KEN
24.01,1971,Dec,Kenya,KEN
24.91,1972,Jan,Kenya,KEN
25.56,1972,Feb,Kenya,KEN
26.19,1972,Mar,Kenya,KEN
26.02,1972,Apr,Kenya,KEN
24.62,1972,May,Kenya,KEN
23.84,1972,Jun,Kenya,KEN
23.52,1972,Jul,Kenya,KEN
23.81,1972,Aug,Kenya,KEN
24.72,1972,Sep,Kenya,KEN
24.49,1972,Oct,Kenya,KEN
23.57,1972,Nov,Kenya,KEN
25.05,1972,Dec,Kenya,KEN
26.02,1973,Jan,Kenya,KEN
26.98,1973,Feb,Kenya,KEN
27.56,1973,Mar,Kenya,KEN
26.37,1973,Apr,Kenya,KEN
25.13,1973,May,Kenya,KEN
24.37,1973,Jun,Kenya,KEN
23.43,1973,Jul,Kenya,KEN
23.4,1973,Aug,Kenya,KEN
24.32,1973,Sep,Kenya,KEN
25.03,1973,Oct,Kenya,KEN
24.22,1973,Nov,Kenya,KEN
24.64,1973,Dec,Kenya,KEN
25.37,1974,Jan,Kenya,KEN
26.19,1974,Feb,Kenya,KEN
25.34,1974,Mar,Kenya,KEN
24.56,1974,Apr,Kenya,KEN
24.28,1974,May,Kenya,KEN
23.89,1974,Jun,Kenya,KEN
22.92,1974,Jul,Kenya,KEN
23.44,1974,Aug,Kenya,KEN
23.71,1974,Sep,Kenya,KEN
24.91,1974,Oct,Kenya,KEN
24.37,1974,Nov,Kenya,KEN
25.41,1974,Dec,Kenya,KEN
25.66,1975,Jan,Kenya,KEN
26.31,1975,Feb,Kenya,KEN
26.68,1975,Mar,Kenya,KEN
25.11,1975,Apr,Kenya,KEN
24.45,1975,May,Kenya,KEN
23.18,1975,Jun,Kenya,KEN
22.69,1975,Jul,Kenya,KEN
22.69,1975,Aug,Kenya,KEN
23.54,1975,Sep,Kenya,KEN
24.07,1975,Oct,Kenya,KEN
24.24,1975,Nov,Kenya,KEN
24.55,1975,Dec,Kenya,KEN
25.04,1976,Jan,Kenya,KEN
25.58,1976,Feb,Kenya,KEN
26.34,1976,Mar,Kenya,KEN
24.99,1976,Apr,Kenya,KEN
24.68,1976,May,Kenya,KEN
23.92,1976,Jun,Kenya,KEN
23.15,1976,Jul,Kenya,KEN
23.27,1976,Aug,Kenya,KEN
23.99,1976,Sep,Kenya,KEN
25.09,1976,Oct,Kenya,KEN
24.51,1976,Nov,Kenya,KEN
24.49,1976,Dec,Kenya,KEN
24.87,1977,Jan,Kenya,KEN
26.1,1977,Feb,Kenya,KEN
26.04,1977,Mar,Kenya,KEN
24.11,1977,Apr,Kenya,KEN
24.18,1977,May,Kenya,KEN
23.82,1977,Jun,Kenya,KEN
23.11,1977,Jul,Kenya,KEN
23.29,1977,Aug,Kenya,KEN
24.21,1977,Sep,Kenya,KEN
24.94,1977,Oct,Kenya,KEN
23.2,1977,Nov,Kenya,KEN
23.88,1977,Dec,Kenya,KEN
24.54,1978,Jan,Kenya,KEN
24.96,1978,Feb,Kenya,KEN
24.64,1978,Mar,Kenya,KEN
24.38,1978,Apr,Kenya,KEN
24.06,1978,May,Kenya,KEN
23.79,1978,Jun,Kenya,KEN
22.82,1978,Jul,Kenya,KEN
23.23,1978,Aug,Kenya,KEN
24.2,1978,Sep,Kenya,KEN
24.45,1978,Oct,Kenya,KEN
23.84,1978,Nov,Kenya,KEN
23.84,1978,Dec,Kenya,KEN
24.0,1979,Jan,Kenya,KEN
24.7,1979,Feb,Kenya,KEN
25.24,1979,Mar,Kenya,KEN
24.52,1979,Apr,Kenya,KEN
24.09,1979,May,Kenya,KEN
23.32,1979,Jun,Kenya,KEN
22.83,1979,Jul,Kenya,KEN
23.17,1979,Aug,Kenya,KEN
24.12,1979,Sep,Kenya,KEN
24.92,1979,Oct,Kenya,KEN
24.36,1979,Nov,Kenya,KEN
24.57,1979,Dec,Kenya,KEN
25.47,1980,Jan,Kenya,KEN
26.11,1980,Feb,Kenya,KEN
26.74,1980,Mar,Kenya,KEN
25.94,1980,Apr,Kenya,KEN
24.92,1980,May,Kenya,KEN
24.27,1980,Jun,Kenya,KEN
23.52,1980,Jul,Kenya,KEN
23.21,1980,Aug,Kenya,KEN
24.42,1980,Sep,Kenya,KEN
25.68,1980,Oct,Kenya,KEN
24.46,1980,Nov,Kenya,KEN
25.32,1980,Dec,Kenya,KEN
25.99,1981,Jan,Kenya,KEN
26.59,1981,Feb,Kenya,KEN
25.43,1981,Mar,Kenya,KEN
24.41,1981,Apr,Kenya,KEN
24.09,1981,May,Kenya,KEN
23.58,1981,Jun,Kenya,KEN
22.84,1981,Jul,Kenya,KEN
23.59,1981,Aug,Kenya,KEN
24.24,1981,Sep,Kenya,KEN
25.21,1981,Oct,Kenya,KEN
24.88,1981,Nov,Kenya,KEN
24.9,1981,Dec,Kenya,KEN
25.77,1982,Jan,Kenya,KEN
26.52,1982,Feb,Kenya,KEN
26.9,1982,Mar,Kenya,KEN
24.72,1982,Apr,Kenya,KEN
24.41,1982,May,Kenya,KEN
24.19,1982,Jun,Kenya,KEN
23.49,1982,Jul,Kenya,KEN
23.46,1982,Aug,Kenya,KEN
24.4,1982,Sep,Kenya,KEN
23.92,1982,Oct,Kenya,KEN
23.82,1982,Nov,Kenya,KEN
24.04,1982,Dec,Kenya,KEN
25.38,1983,Jan,Kenya,KEN
26.39,1983,Feb,Kenya,KEN
27.55,1983,Mar,Kenya,KEN
26.39,1983,Apr,Kenya,KEN
25.32,1983,May,Kenya,KEN
24.48,1983,Jun,Kenya,KEN
23.72,1983,Jul,Kenya,KEN
23.59,1983,Aug,Kenya,KEN
24.16,1983,Sep,Kenya,KEN
25.03,1983,Oct,Kenya,KEN
24.99,1983,Nov,Kenya,KEN
24.94,1983,Dec,Kenya,KEN
25.55,1984,Jan,Kenya,KEN
25.83,1984,Feb,Kenya,KEN
26.7,1984,Mar,Kenya,KEN
25.97,1984,Apr,Kenya,KEN
25.44,1984,May,Kenya,KEN
24.09,1984,Jun,Kenya,KEN
23.05,1984,Jul,Kenya,KEN
23.29,1984,Aug,Kenya,KEN
